age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
25,0,0,0,no,-7,yes,no,1,5,5,365,1,-1,0,0,no
53,2,0,0,no,-3,no,no,1,5,5,1666,1,-1,0,0,no
36,3,2,0,no,506,yes,no,1,5,5,577,1,-1,0,0,no
37,3,1,0,no,0,yes,no,1,5,5,137,1,-1,0,0,no
44,4,2,0,no,2586,yes,no,1,5,5,160,1,-1,0,0,no
50,1,0,0,no,49,yes,no,1,5,5,180,2,-1,0,0,no
60,0,0,3,no,104,yes,no,1,5,5,22,1,-1,0,0,no
54,5,0,0,no,529,yes,no,1,5,5,1492,1,-1,0,0,no
58,5,0,3,no,96,yes,no,1,5,5,616,1,-1,0,0,no
36,3,1,2,no,-171,yes,no,1,5,5,242,1,-1,0,0,no
58,6,0,1,no,-364,yes,no,1,5,5,355,1,-1,0,0,no
44,2,0,0,no,0,yes,no,1,5,5,225,2,-1,0,0,no
55,2,2,0,no,0,no,no,1,5,5,160,1,-1,0,0,no
29,1,1,1,no,0,yes,no,1,5,5,363,1,-1,0,0,no
54,0,0,0,no,1291,yes,no,1,5,5,266,1,-1,0,0,no
48,1,2,1,no,-244,yes,no,1,5,5,253,1,-1,0,0,no
32,1,0,1,no,0,yes,no,1,5,5,179,1,-1,0,0,no
42,3,1,0,no,-76,yes,no,1,5,5,787,1,-1,0,0,no
24,2,1,0,no,-103,yes,yes,1,5,5,145,1,-1,0,0,no
38,7,1,1,no,243,no,yes,1,5,5,174,1,-1,0,0,no
38,1,1,1,no,424,yes,no,1,5,5,104,1,-1,0,0,no
47,0,0,3,no,306,yes,no,1,5,5,13,1,-1,0,0,no
40,0,1,3,no,24,yes,no,1,5,5,185,1,-1,0,0,no
46,4,0,2,no,179,yes,no,1,5,5,1778,1,-1,0,0,no
32,3,0,1,no,0,yes,no,1,5,5,138,1,-1,0,0,no
53,2,2,0,no,989,yes,no,1,5,5,812,1,-1,0,0,no
57,0,0,2,no,249,yes,no,1,5,5,164,1,-1,0,0,no
33,4,0,0,no,790,yes,no,1,5,5,391,1,-1,0,0,no
49,0,0,3,no,154,yes,no,1,5,5,357,1,-1,0,0,no
51,1,0,1,no,6530,yes,no,1,5,5,91,1,-1,0,0,no
60,5,0,1,no,100,no,no,1,5,5,528,1,-1,0,0,no
59,1,2,1,no,59,yes,no,1,5,5,273,1,-1,0,0,no
55,2,0,0,no,1205,yes,no,1,5,5,158,2,-1,0,0,no
35,0,1,0,no,12223,yes,yes,1,5,5,177,1,-1,0,0,no
57,0,0,0,no,5935,yes,yes,1,5,5,258,1,-1,0,0,no
31,4,0,0,no,25,yes,yes,1,5,5,172,1,-1,0,0,no
54,1,0,0,no,282,yes,yes,1,5,5,154,1,-1,0,0,no
55,0,0,2,no,23,yes,no,1,5,5,291,1,-1,0,0,no
43,2,0,0,no,1937,yes,no,1,5,5,181,1,-1,0,0,no
53,2,0,0,no,384,yes,no,1,5,5,176,1,-1,0,0,no
44,0,0,0,no,582,no,yes,1,5,5,211,1,-1,0,0,no
55,4,2,0,no,91,no,no,1,5,5,349,1,-1,0,0,no
49,4,2,0,no,0,yes,yes,1,5,5,272,1,-1,0,0,no
55,4,2,0,yes,1,yes,no,1,5,5,208,1,-1,0,0,no
45,3,1,0,no,206,yes,no,1,5,5,193,1,-1,0,0,no
47,4,2,0,no,164,no,no,1,5,5,212,1,-1,0,0,no
42,2,1,0,no,690,yes,no,1,5,5,20,1,-1,0,0,no
59,3,0,0,no,2343,yes,no,1,5,5,1042,1,-1,0,0,yes
46,6,0,1,no,137,yes,yes,1,5,5,246,1,-1,0,0,no
51,0,0,2,no,173,yes,no,1,5,5,529,2,-1,0,0,no
56,3,0,0,no,45,no,no,1,5,5,1467,1,-1,0,0,yes
41,2,0,0,no,1270,yes,no,1,5,5,1389,1,-1,0,0,yes
46,1,2,0,no,16,yes,yes,1,5,5,188,2,-1,0,0,no
57,5,0,0,no,486,yes,no,1,5,5,180,2,-1,0,0,no
42,1,1,0,no,50,no,no,1,5,5,48,1,-1,0,0,no
30,2,0,0,no,152,yes,yes,1,5,5,213,2,-1,0,0,no
60,3,0,0,no,290,yes,no,1,5,5,583,1,-1,0,0,no
60,0,0,3,no,54,yes,no,1,5,5,221,1,-1,0,0,no
57,7,2,0,no,-37,no,no,1,5,5,173,1,-1,0,0,no
36,1,0,1,no,101,yes,yes,1,5,5,426,1,-1,0,0,no
55,0,0,0,no,383,no,no,1,5,5,287,1,-1,0,0,no
60,5,0,1,no,81,yes,no,1,5,5,101,1,-1,0,0,no
39,2,0,0,no,0,yes,no,1,5,5,203,1,-1,0,0,no
46,1,0,1,no,229,yes,no,1,5,5,197,1,-1,0,0,no
44,0,0,0,no,-674,yes,no,1,5,5,257,1,-1,0,0,no
53,0,0,2,no,90,no,no,1,5,5,124,1,-1,0,0,no
52,0,0,2,no,128,yes,no,1,5,5,229,1,-1,0,0,no
59,0,0,2,no,179,yes,no,1,5,5,55,3,-1,0,0,no
27,2,1,1,no,0,yes,no,1,5,5,400,1,-1,0,0,no
44,0,0,0,no,54,yes,no,1,5,5,197,1,-1,0,0,no
47,2,0,1,no,151,yes,no,1,5,5,190,1,-1,0,0,no
34,3,0,0,no,61,no,yes,1,5,5,21,1,-1,0,0,no
59,5,1,0,no,30,yes,no,1,5,5,514,1,-1,0,0,no
45,1,0,1,no,523,yes,no,1,5,5,849,2,-1,0,0,no
29,4,2,0,no,31,yes,no,1,5,5,194,1,-1,0,0,no
46,2,2,0,no,79,no,no,1,5,5,144,1,-1,0,0,no
56,6,0,2,no,-34,yes,yes,1,5,5,212,2,-1,0,0,no
36,0,0,2,no,448,yes,no,1,5,5,286,1,-1,0,0,no
59,5,2,2,no,81,yes,no,1,5,5,107,1,-1,0,0,no
44,0,0,0,no,144,yes,no,1,5,5,247,2,-1,0,0,no
41,3,0,0,no,351,yes,no,1,5,5,518,1,-1,0,0,no
33,1,1,1,no,-67,yes,no,1,5,5,364,1,-1,0,0,no
59,1,2,1,no,262,no,no,1,5,5,178,1,-1,0,0,no
57,2,0,2,no,0,no,no,1,5,5,98,1,-1,0,0,no
56,2,2,3,no,56,yes,no,1,5,5,439,1,-1,0,0,no
51,0,0,0,no,26,yes,no,1,5,5,79,1,-1,0,0,no
34,3,0,3,no,3,yes,no,1,5,5,120,3,-1,0,0,no
43,4,0,0,no,41,yes,yes,1,5,5,127,2,-1,0,0,no
52,2,0,1,no,7,no,yes,1,5,5,175,1,-1,0,0,no
33,2,1,0,no,105,yes,no,1,5,5,262,2,-1,0,0,no
29,3,1,0,no,818,yes,yes,1,5,5,61,1,-1,0,0,no
34,4,0,0,no,-16,yes,yes,1,5,5,78,1,-1,0,0,no
31,0,0,0,no,0,yes,no,1,5,5,143,1,-1,0,0,no
55,4,0,0,no,2476,yes,no,1,5,5,579,1,-1,0,0,yes
55,1,0,3,no,1185,no,no,1,5,5,677,1,-1,0,0,no
32,3,1,0,no,217,yes,no,1,5,5,345,1,-1,0,0,no
38,2,1,0,no,1685,yes,no,1,5,5,185,1,-1,0,0,no
55,3,1,0,no,802,yes,yes,1,5,5,100,2,-1,0,0,no
28,8,1,1,no,0,yes,no,1,5,5,125,2,-1,0,0,no
23,0,0,0,no,94,yes,no,1,5,5,193,1,-1,0,0,no
32,2,1,0,no,0,yes,no,1,5,5,136,1,-1,0,0,no
43,4,1,3,no,0,no,no,1,5,5,73,1,-1,0,0,no
32,0,0,0,no,517,yes,no,1,5,5,528,1,-1,0,0,no
46,0,0,0,no,265,yes,no,1,5,5,541,1,-1,0,0,no
53,9,2,2,no,947,yes,no,1,5,5,163,1,-1,0,0,no
34,6,1,0,no,3,yes,no,1,5,5,301,1,-1,0,0,no
57,8,0,1,no,42,no,no,1,5,5,46,1,-1,0,0,no
37,0,0,0,no,37,yes,no,1,5,5,204,1,-1,0,0,no
59,0,0,0,no,57,yes,no,1,5,5,98,1,-1,0,0,no
33,4,0,0,no,22,yes,no,1,5,5,71,1,-1,0,0,no
56,0,2,2,no,8,yes,no,1,5,5,157,2,-1,0,0,no
48,8,0,0,no,293,yes,no,1,5,5,243,1,-1,0,0,no
43,4,0,2,no,3,yes,no,1,5,5,186,2,-1,0,0,no
54,0,0,2,no,348,yes,no,1,5,5,579,2,-1,0,0,no
51,0,0,3,no,-19,yes,no,1,5,5,163,2,-1,0,0,no
26,10,1,0,no,0,yes,no,1,5,5,610,2,-1,0,0,no
40,1,0,1,no,-4,yes,no,1,5,5,2033,1,-1,0,0,no
39,1,0,0,no,18,yes,no,1,5,5,85,1,-1,0,0,no
50,2,0,2,no,139,no,no,1,5,5,114,2,-1,0,0,no
41,4,0,0,no,0,yes,no,1,5,5,114,2,-1,0,0,no
51,0,0,3,no,1883,yes,no,1,5,5,57,1,-1,0,0,no
60,5,2,0,no,216,yes,no,1,5,5,238,1,-1,0,0,no
52,0,0,0,no,782,yes,no,1,5,5,93,3,-1,0,0,no
48,0,0,0,no,904,yes,no,1,5,5,128,2,-1,0,0,no
48,4,0,3,no,1705,yes,no,1,5,5,107,1,-1,0,0,no
39,2,1,1,no,47,yes,no,1,5,5,181,1,-1,0,0,no
47,4,1,0,no,176,yes,no,1,5,5,303,2,-1,0,0,no
40,0,0,0,no,1225,yes,no,1,5,5,558,5,-1,0,0,no
45,2,0,0,no,86,yes,no,1,5,5,270,1,-1,0,0,no
26,3,1,0,no,82,yes,no,1,5,5,228,1,-1,0,0,no
52,1,0,1,no,271,yes,no,1,5,5,99,1,-1,0,0,no
54,2,0,0,no,1378,yes,no,1,5,5,240,1,-1,0,0,no
54,3,0,1,no,184,no,no,1,5,5,673,2,-1,0,0,yes
50,0,0,2,no,0,no,no,1,5,5,233,3,-1,0,0,no
35,0,0,0,no,0,yes,no,1,5,5,1056,1,-1,0,0,no
44,4,0,0,no,1357,yes,yes,1,5,5,250,1,-1,0,0,no
53,7,0,3,no,19,yes,no,1,5,5,252,1,-1,0,0,no
35,5,1,2,no,434,no,no,1,5,5,138,1,-1,0,0,no
60,3,2,0,no,92,yes,no,1,5,5,130,1,-1,0,0,no
53,3,2,0,no,1151,yes,no,1,5,5,412,1,-1,0,0,no
48,8,0,0,no,41,yes,no,1,5,5,179,2,-1,0,0,no
34,2,0,0,no,51,yes,no,1,5,5,19,2,-1,0,0,no
54,4,0,0,no,214,yes,no,1,5,5,458,2,-1,0,0,no
51,1,0,0,no,1161,yes,no,1,5,5,717,1,-1,0,0,no
31,4,0,1,no,37,yes,no,1,5,5,313,1,-1,0,0,no
35,2,2,0,no,787,yes,no,1,5,5,683,2,-1,0,0,no
35,4,0,0,no,59,yes,no,1,5,5,1077,1,-1,0,0,no
38,2,0,0,no,253,yes,no,1,5,5,416,1,-1,0,0,no
36,3,0,1,no,211,yes,no,1,5,5,146,2,-1,0,0,no
58,5,0,2,no,235,yes,no,1,5,5,167,1,-1,0,0,no
40,4,2,3,no,4384,yes,no,1,5,5,315,1,-1,0,0,no
54,1,0,0,no,4080,no,no,1,5,5,140,1,-1,0,0,no
34,0,1,0,no,53,yes,yes,1,5,5,346,1,-1,0,0,no
31,1,1,1,no,0,yes,no,1,5,5,562,1,-1,0,0,no
51,5,0,0,no,2127,yes,no,1,5,5,172,1,-1,0,0,no
33,1,0,1,no,377,yes,no,1,5,5,217,1,-1,0,0,no
55,1,0,1,no,73,yes,no,1,5,5,142,2,-1,0,0,no
42,3,0,0,no,445,yes,no,1,5,5,67,1,-1,0,0,no
34,0,0,0,no,243,yes,no,1,5,5,291,1,-1,0,0,no
33,0,1,0,no,307,yes,no,1,5,5,309,2,-1,0,0,no
38,4,0,0,no,155,yes,no,1,5,5,248,1,-1,0,0,no
50,2,2,1,no,173,no,yes,1,5,5,98,1,-1,0,0,no
43,1,0,1,no,400,yes,no,1,5,5,256,1,-1,0,0,no
61,0,2,2,no,1428,yes,no,1,5,5,82,2,-1,0,0,no
47,3,0,0,no,219,yes,no,1,5,5,577,1,-1,0,0,no
48,6,0,1,no,7,yes,no,1,5,5,286,1,-1,0,0,no
44,0,0,0,no,575,yes,no,1,5,5,477,1,-1,0,0,no
35,10,1,3,no,298,yes,no,1,5,5,611,2,-1,0,0,no
35,4,0,0,no,0,yes,no,1,5,5,471,1,-1,0,0,no
50,4,0,0,no,5699,yes,no,1,5,5,381,2,-1,0,0,no
41,1,0,1,no,176,yes,yes,1,5,5,42,1,-1,0,0,no
41,1,0,1,no,517,yes,no,1,5,5,251,1,-1,0,0,no
39,4,1,3,no,257,yes,no,1,5,5,408,1,-1,0,0,no
42,5,0,0,no,56,yes,no,1,5,5,215,1,-1,0,0,no
38,0,0,0,no,-390,yes,no,1,5,5,287,1,-1,0,0,no
53,5,0,0,no,330,yes,no,1,5,5,216,2,-1,0,0,no
59,9,2,2,no,195,no,no,1,5,5,366,2,-1,0,0,no
36,4,0,0,no,301,yes,no,1,5,5,210,1,-1,0,0,no
54,0,0,2,no,-41,yes,no,1,5,5,288,1,-1,0,0,no
40,2,0,1,no,483,yes,no,1,5,5,168,1,-1,0,0,no
47,11,0,3,no,28,no,no,1,5,5,338,2,-1,0,0,no
53,8,0,3,no,13,no,no,1,5,5,410,3,-1,0,0,no
46,9,0,2,no,965,no,no,1,5,5,177,1,-1,0,0,no
39,1,0,1,no,378,yes,yes,1,5,5,127,2,-1,0,0,no
40,8,0,0,no,219,yes,no,1,5,5,357,1,-1,0,0,no
28,0,0,2,no,324,yes,no,1,5,5,175,1,-1,0,0,no
35,7,2,0,no,-69,yes,no,1,5,5,300,1,-1,0,0,no
55,5,0,0,no,0,no,yes,1,5,5,136,1,-1,0,0,no
43,2,2,3,no,205,yes,no,1,5,5,1419,1,-1,0,0,no
48,0,0,2,no,278,yes,no,1,5,5,125,2,-1,0,0,no
58,1,0,3,no,1065,yes,no,1,5,5,213,3,-1,0,0,no
33,1,1,1,no,34,yes,no,1,5,5,27,1,-1,0,0,no
36,0,0,3,no,1033,no,no,1,5,5,238,2,-1,0,0,no
53,4,2,0,no,1467,yes,no,1,5,5,124,1,-1,0,0,no
47,0,0,2,no,-12,yes,no,1,5,5,18,1,-1,0,0,no
31,4,0,0,no,388,yes,no,1,5,5,730,2,-1,0,0,no
57,7,0,0,no,294,yes,no,1,5,5,746,2,-1,0,0,no
53,0,0,3,no,1827,no,no,1,5,5,121,1,-1,0,0,no
55,0,0,2,no,627,yes,no,1,5,5,247,1,-1,0,0,no
45,0,0,2,no,25,yes,no,1,5,5,40,1,-1,0,0,no
53,3,2,0,no,315,yes,no,1,5,5,181,2,-1,0,0,no
37,0,0,2,no,0,yes,no,1,5,5,79,1,-1,0,0,no
44,3,2,0,no,66,yes,no,1,5,5,206,1,-1,0,0,no
49,0,2,2,no,-9,yes,yes,1,5,5,389,1,-1,0,0,no
46,2,0,0,no,349,yes,yes,1,5,5,127,1,-1,0,0,no
43,7,0,3,no,100,yes,no,1,5,5,702,1,-1,0,0,no
38,3,0,0,no,0,no,no,1,5,5,151,1,-1,0,0,no
43,2,0,0,no,434,yes,no,1,5,5,117,1,-1,0,0,no
49,1,0,1,no,3237,yes,no,1,5,5,232,3,-1,0,0,no
42,1,0,3,no,275,no,no,1,5,5,408,2,-1,0,0,no
22,0,1,0,no,0,yes,no,1,5,5,179,2,-1,0,0,no
40,1,0,1,no,207,yes,no,1,5,5,39,1,-1,0,0,no
39,0,0,0,no,483,yes,no,1,5,5,282,1,-1,0,0,no
51,4,0,0,no,2248,yes,no,1,5,5,714,2,-1,0,0,no
49,3,0,0,no,428,yes,no,1,5,5,50,1,-1,0,0,no
53,0,0,0,no,0,yes,yes,1,5,5,181,1,-1,0,0,no
34,4,1,0,no,0,yes,no,1,5,5,142,1,-1,0,0,no
33,2,2,0,no,140,yes,no,1,5,5,227,1,-1,0,0,no
50,1,1,1,no,297,yes,no,1,5,5,119,1,-1,0,0,no
39,0,0,2,no,279,yes,no,1,5,5,361,1,-1,0,0,no
59,7,2,0,no,901,yes,no,1,5,5,73,3,-1,0,0,no
30,2,1,0,no,2573,yes,no,1,5,5,67,2,-1,0,0,no
36,4,0,0,no,143,yes,yes,1,5,5,350,1,-1,0,0,no
40,0,0,0,no,475,yes,no,1,5,5,332,2,-1,0,0,no
53,0,0,0,no,70,yes,no,1,5,5,611,2,-1,0,0,no
34,1,1,1,no,318,yes,no,1,5,5,113,2,-1,0,0,no
37,2,0,0,no,275,yes,no,1,5,5,132,1,-1,0,0,no
42,1,2,1,no,742,yes,no,1,5,5,58,3,-1,0,0,no
41,7,0,2,no,236,yes,no,1,5,5,151,1,-1,0,0,no
30,10,1,1,no,25,yes,no,1,5,5,89,2,-1,0,0,no
37,1,1,1,no,600,yes,no,1,5,5,152,1,-1,0,0,no
39,3,2,0,no,-349,yes,no,1,5,5,611,2,-1,0,0,no
41,0,0,2,no,183,yes,yes,1,5,5,110,2,-1,0,0,no
40,0,0,2,no,0,yes,no,1,5,5,463,1,-1,0,0,no
42,1,1,1,no,0,yes,yes,1,5,5,562,2,-1,0,0,yes
40,0,2,2,no,0,yes,no,1,5,5,962,1,-1,0,0,no
57,2,0,0,no,1078,yes,no,1,5,5,10,4,-1,0,0,no
56,7,2,0,no,155,no,no,1,5,5,118,3,-1,0,0,no
37,3,0,0,no,190,yes,no,1,5,5,92,2,-1,0,0,no
59,5,0,0,no,319,yes,no,1,5,5,143,3,-1,0,0,no
39,4,2,0,no,-185,yes,no,1,5,5,189,3,-1,0,0,no
49,4,0,0,no,47,no,no,1,5,5,234,2,-1,0,0,no
38,4,1,0,no,570,yes,no,1,5,5,75,2,-1,0,0,no
36,6,0,1,no,19,no,no,1,5,5,189,2,-1,0,0,no
50,0,0,2,no,61,yes,no,1,5,5,621,3,-1,0,0,no
41,3,0,0,no,-62,yes,yes,1,5,5,55,2,-1,0,0,no
54,2,0,1,no,258,no,no,1,5,5,310,4,-1,0,0,no
58,0,0,2,no,76,yes,no,1,5,5,156,2,-1,0,0,no
30,0,1,0,no,0,yes,no,1,5,5,5,2,-1,0,0,no
33,3,1,0,no,352,yes,no,1,5,5,225,2,-1,0,0,no
47,3,0,0,no,368,yes,no,1,5,5,125,2,-1,0,0,no
50,2,1,1,no,339,yes,no,1,5,5,2,3,-1,0,0,no
32,0,0,0,no,1331,yes,no,1,5,5,286,2,-1,0,0,no
40,6,0,0,no,672,yes,no,1,5,5,164,2,-1,0,0,no
37,1,0,1,no,58,yes,no,1,5,5,98,2,-1,0,0,no
54,2,1,3,no,447,yes,no,1,5,5,742,2,-1,0,0,no
24,10,1,0,no,423,yes,no,1,5,5,226,3,-1,0,0,no
54,1,0,1,no,0,no,no,1,5,5,120,2,-1,0,0,no
34,2,0,0,no,19,yes,no,1,5,5,362,4,-1,0,0,no
56,2,2,2,no,13,yes,no,1,5,5,357,2,-1,0,0,no
31,0,1,0,no,3,yes,no,1,5,5,200,2,-1,0,0,no
24,10,1,0,no,82,yes,no,1,5,5,204,2,-1,0,0,no
42,0,2,2,no,28,yes,no,1,5,5,126,3,-1,0,0,no
57,2,0,0,no,792,yes,no,1,5,5,65,2,-1,0,0,no
42,0,0,3,no,408,yes,no,1,5,5,107,2,-1,0,0,no
51,3,0,0,no,531,yes,no,1,5,5,267,2,-1,0,0,no
57,5,0,0,no,211,yes,no,1,5,5,248,2,-1,0,0,no
36,4,1,0,no,62,yes,no,1,5,5,215,2,-1,0,0,no
53,4,0,3,no,257,yes,no,1,5,5,209,2,-1,0,0,no
50,2,0,0,no,1234,yes,no,1,5,5,205,2,-1,0,0,no
54,1,0,1,no,313,yes,no,1,5,5,83,2,-1,0,0,no
55,0,0,0,no,89,yes,no,1,5,5,106,3,-1,0,0,no
44,0,0,0,no,129,yes,yes,1,5,5,189,2,-1,0,0,no
43,1,0,3,no,0,yes,no,1,5,5,105,2,-1,0,0,no
56,3,0,0,no,353,yes,no,1,5,5,106,2,-1,0,0,no
54,2,0,3,no,851,yes,no,1,5,5,108,2,-1,0,0,no
55,4,2,2,no,96,yes,yes,1,5,5,311,2,-1,0,0,no
37,4,2,0,no,398,yes,yes,1,5,5,214,2,-1,0,0,no
33,3,1,1,no,193,no,no,1,5,5,132,2,-1,0,0,no
46,3,0,0,no,-358,yes,no,1,5,5,358,2,-1,0,0,no
36,0,0,0,no,539,yes,yes,1,5,5,453,2,-1,0,0,no
51,2,1,0,no,0,yes,no,1,5,5,364,2,-1,0,0,no
40,5,1,2,no,0,no,no,1,5,5,136,2,-1,0,0,no
42,0,0,0,no,490,yes,no,1,5,5,386,2,-1,0,0,no
51,0,0,0,no,0,yes,no,1,5,5,173,2,-1,0,0,no
49,0,0,3,no,403,yes,no,1,5,5,241,2,-1,0,0,no
48,1,0,0,no,161,yes,no,1,5,5,224,3,-1,0,0,no
32,2,2,1,no,2558,no,no,1,5,5,148,2,-1,0,0,no
31,3,1,0,no,98,yes,no,1,5,5,196,2,-1,0,0,no
55,1,1,1,no,115,no,no,1,5,5,111,4,-1,0,0,no
40,0,1,0,no,436,yes,no,1,5,5,231,3,-1,0,0,no
47,2,0,1,no,831,yes,no,1,5,5,316,3,-1,0,0,no
57,2,0,3,no,206,yes,no,1,5,5,216,3,-1,0,0,no
41,0,0,0,no,290,yes,no,1,5,5,240,2,-1,0,0,no
48,0,0,0,no,1,no,no,1,5,5,669,3,-1,0,0,no
42,0,0,3,no,57,yes,no,1,5,5,425,2,-1,0,0,no
30,0,1,0,no,-457,yes,no,1,5,5,143,2,-1,0,0,no
58,1,1,1,no,1387,yes,no,1,5,5,174,5,-1,0,0,no
45,1,2,1,no,24598,yes,no,1,5,5,313,3,-1,0,0,no
49,0,0,0,no,30,yes,no,1,5,5,135,4,-1,0,0,no
42,3,1,0,no,1022,yes,no,1,5,5,146,2,-1,0,0,no
53,2,0,0,no,56,yes,yes,1,5,5,152,2,-1,0,0,no
51,3,1,0,yes,-2,no,no,1,5,5,402,3,-1,0,0,no
32,4,1,0,no,121,yes,no,1,5,5,213,2,-1,0,0,no
41,0,1,0,no,842,yes,no,1,5,5,144,3,-1,0,0,no
43,1,2,0,no,693,yes,no,1,5,5,124,3,-1,0,0,no
40,0,2,0,no,-333,yes,no,1,5,5,183,2,-1,0,0,no
50,0,0,2,no,1533,yes,no,1,5,5,325,2,-1,0,0,no
34,1,0,1,no,46,yes,no,1,5,5,39,4,-1,0,0,no
53,4,0,3,no,18,no,no,1,5,5,503,2,-1,0,0,no
45,2,0,0,no,44,yes,no,1,5,5,95,4,-1,0,0,no
39,0,0,2,no,-100,yes,no,1,5,5,680,2,-1,0,0,no
44,4,0,1,no,510,yes,no,1,5,5,421,4,-1,0,0,no
55,1,0,1,no,685,yes,no,1,5,5,174,3,-1,0,0,no
46,1,1,1,no,187,yes,no,1,5,5,113,2,-1,0,0,no
45,0,0,0,no,66,yes,no,1,5,5,808,2,-1,0,0,no
34,3,0,0,no,560,yes,no,1,5,5,198,3,-1,0,0,no
36,0,0,0,no,0,yes,no,1,5,5,195,2,-1,0,0,no
59,11,2,3,no,27,no,no,1,5,5,347,3,-1,0,0,no
31,3,1,0,no,12,yes,no,1,5,5,208,2,-1,0,0,no
44,0,1,0,no,34,yes,no,1,5,5,404,4,-1,0,0,no
33,7,1,1,no,1068,yes,no,1,5,5,396,2,-1,0,0,no
40,0,0,0,no,211,yes,no,1,5,5,216,4,-1,0,0,no
46,3,1,1,no,377,yes,no,1,5,5,98,2,-1,0,0,no
48,1,0,1,no,263,yes,no,1,5,5,350,2,-1,0,0,no
42,4,0,0,no,1263,yes,no,1,6,5,114,2,-1,0,0,no
27,4,0,0,no,8,yes,no,1,6,5,88,3,-1,0,0,no
48,3,0,0,no,126,yes,yes,1,6,5,379,2,-1,0,0,no
59,3,0,0,no,230,yes,no,1,6,5,190,3,-1,0,0,no
46,2,0,1,no,841,yes,no,1,6,5,158,1,-1,0,0,no
38,3,2,0,no,308,yes,no,1,6,5,102,1,-1,0,0,no
43,1,2,1,no,1,yes,no,1,6,5,306,1,-1,0,0,no
38,3,2,1,no,86,yes,no,1,6,5,218,1,-1,0,0,no
23,10,1,0,no,157,yes,no,1,6,5,54,1,-1,0,0,no
34,4,0,0,no,22,yes,no,1,6,5,344,1,-1,0,0,no
38,3,0,0,no,46,yes,yes,1,6,5,195,1,-1,0,0,no
37,0,0,0,no,1293,no,no,1,6,5,652,1,-1,0,0,no
25,3,1,0,no,122,yes,no,1,6,5,286,1,-1,0,0,no
48,0,0,3,no,131,yes,no,1,6,5,189,1,-1,0,0,no
49,0,1,0,no,143,yes,no,1,6,5,83,1,-1,0,0,no
38,3,1,0,no,393,no,no,1,6,5,184,2,-1,0,0,no
43,0,0,2,no,98,yes,no,1,6,5,235,1,-1,0,0,no
33,1,0,1,no,0,yes,no,1,6,5,290,1,-1,0,0,no
55,0,0,0,no,224,yes,no,1,6,5,232,1,-1,0,0,no
38,0,0,0,no,757,yes,no,1,6,5,133,1,-1,0,0,no
49,4,0,0,no,245,yes,yes,1,6,5,318,1,-1,0,0,no
40,1,0,0,no,8486,no,no,1,6,5,260,3,-1,0,0,no
